query_text,query_type
Looking for affordable commercial vehicles,generalized
What is the top speed?,non-generalized
I am looking for shuttle buses,generalized
Can I customize it?,non-generalized
Need information on passenger buses,generalized
Do you offer extended warranty?,non-generalized
Can you show me some heavy-duty trucks?,generalized
What is the price?,non-generalized
Looking for a new van,generalized
Can I get it delivered?,non-generalized
Looking for a heavy-duty bus,generalized
Does it come with a sunroof?,non-generalized
I need to see vans for sale,generalized
Is there a trial period?,non-generalized
Need a bus for public transport,generalized
Is there a trial period?,non-generalized
Need an armored truck,generalized
What is the down payment?,non-generalized
I need a vehicle for construction work,generalized
Are there any service centers nearby?,non-generalized
Looking for eco-friendly commercial vehicles,generalized
What is the delivery time?,non-generalized
Need information on commercial vehicles,generalized
What colors are available?,non-generalized
I am looking for shuttle buses,generalized
Is there an exchange offer?,non-generalized
Interested in used commercial vehicles,generalized
Can I get a discount?,non-generalized
I want to buy a truck,generalized
What is the engine capacity?,non-generalized
Interested in fuel-efficient trucks,generalized
What are the specifications?,non-generalized
Looking for a light commercial vehicle,generalized
Do you have customer reviews?,non-generalized
I want to buy a refrigerated truck,generalized
What is the resale value?,non-generalized
Looking for a new van,generalized
What is the horsepower?,non-generalized
I want to lease a commercial vehicle,generalized
What is the fuel efficiency?,non-generalized
Need information on commercial vehicles,generalized
What is the price?,non-generalized
Looking for a heavy-duty bus,generalized
Is it available?,non-generalized
Looking for eco-friendly commercial vehicles,generalized
What are the dimensions?,non-generalized
Where can I find trucks?,generalized
What is the price?,non-generalized
Interested in fuel-efficient trucks,generalized
What is the seating capacity?,non-generalized
Interested in purchasing a bus,generalized
Is there a buyback option?,non-generalized
Want to check out buses,generalized
Is it new or used?,non-generalized
Looking for a light commercial vehicle,generalized
Is it available?,non-generalized
Want to buy a trailer truck,generalized
What is the return policy?,non-generalized
Want to check out buses,generalized
What colors are available?,non-generalized
Interested in purchasing a bus,generalized
Can I test drive it?,non-generalized
Need a cargo van,generalized
Is it new or used?,non-generalized
Want to check out buses,generalized
What are the payment options?,non-generalized
I need to buy a moving van,generalized
Are there any service centers nearby?,non-generalized
Looking for high-capacity trucks,generalized
Are there any offers?,non-generalized
I am searching for a cargo vehicle,generalized
How much does it cost?,non-generalized
I'm in the market for a delivery van,generalized
Do you have customer reviews?,non-generalized
Where can I find trucks?,generalized
Is there an exchange offer?,non-generalized
Where can I find delivery trucks?,generalized
Does it have a warranty?,non-generalized
Looking for an electric van,generalized
Is it available?,non-generalized
Looking for an electric van,generalized
What is the seating capacity?,non-generalized
I am looking for shuttle buses,generalized
What is the mileage?,non-generalized
I need information on fleet vehicles,generalized
What is the insurance cost?,non-generalized
I am searching for a passenger van,generalized
What are the safety features?,non-generalized
Interested in box trucks,generalized
What is the fuel efficiency?,non-generalized
Looking for eco-friendly commercial vehicles,generalized
Can I lease it?,non-generalized
I am looking for shuttle buses,generalized
Is there an exchange offer?,non-generalized
Want to buy a trailer truck,generalized
Can I lease it?,non-generalized
Interested in purchasing a dump truck,generalized
What is the seating capacity?,non-generalized
Need a bus for public transport,generalized
Does it come with a GPS?,non-generalized
Interested in purchasing a dump truck,generalized
Is it available?,non-generalized
Looking for off-road commercial vehicles,generalized
Do you have customer reviews?,non-generalized
I want to buy a refrigerated truck,generalized
Is it available?,non-generalized
Need to buy a transport vehicle,generalized
What are the financing options?,non-generalized
I need a vehicle for construction work,generalized
What is the insurance cost?,non-generalized
I am looking for shuttle buses,generalized
Are there any offers?,non-generalized
Need an armored truck,generalized
What is the top speed?,non-generalized
Looking for high-capacity trucks,generalized
What colors are available?,non-generalized
Interested in box trucks,generalized
What are the payment options?,non-generalized
Looking for affordable commercial vehicles,generalized
What is the ground clearance?,non-generalized
Need information on commercial vehicles,generalized
What is the price?,non-generalized
Searching for a long-haul truck,generalized
Can I test drive it?,non-generalized
Looking for a new van,generalized
What is the delivery time?,non-generalized
Searching for hybrid vans,generalized
What is the engine capacity?,non-generalized
Want to buy a trailer truck,generalized
What is the build quality?,non-generalized
Need a cargo van,generalized
Can I book it online?,non-generalized
I want to buy a truck,generalized
Does it have a warranty?,non-generalized
I need a van for my business,generalized
Is it suitable for long-distance travel?,non-generalized
I want to lease a cargo van,generalized
Is it suitable for long-distance travel?,non-generalized
Where can I find trucks?,generalized
Does it come with a sunroof?,non-generalized
I need to see vans for sale,generalized
Does it come with a sunroof?,non-generalized
Want to check out minibuses,generalized
Does it have a warranty?,non-generalized
Interested in purchasing a bus,generalized
Can I trade in my old vehicle?,non-generalized
I want to buy a refrigerated truck,generalized
Are there any offers?,non-generalized
I am searching for a cargo vehicle,generalized
Is there a trial period?,non-generalized
